강릉
	9
	9
	5
	5
	7
	7
	6
	6
	5
	5
	6
	6
	7
광주
	6
	6
	4
	4
	10
	10
	6
	6
	5
	5
	7
	7
	7
군산
	7
	7
	4
	4
	8
	8
	5
	5
	4
	4
	5
	6
	6
대구
	6
	6
	6
	6
	8
	8
	6
	6
	6
	6
	7
	7
	7
대전
	7
	7
	5
	5
	8
	8
	6
	6
	4
	4
	5
	6
	6
목포
	7
	7
	6
	6
	9
	9
	7
	7
	6
	6
	7
	7
	7
부산
	9
	9
	9
	9
	10
	10
	9
	9
	8
	8
	8
	9
	9
서귀포
	10
	10
	11
	11
	13
	13
	11
	11
	10
	10
	10
	11
	11
서울
	7
	7
	6
	6
	8
	8
	5
	5
	6
	6
	7
	7
	8
세종
	5
	5
	4
	4
	7
	7
	5
	5
	2
	2
	4
	5
	5
수원
	6
	6
	4
	4
	7
	7
	4
	4
	3
	3
	5
	5
	6
안동
	4
	4
	3
	3
	5
	5
	4
	4
	3
	3
	4
	4
	4
여수
	8
	8
	8
	8
	10
	10
	9
	9
	7
	7
	9
	9
	9
울산
	7
	7
	7
	7
	9
	9
	8
	8
	7
	7
	7
	7
	7
원주
	5
	5
	4
	4
	7
	7
	5
	5
	3
	3
	4
	5
	6
인천
	7
	7
	6
	6
	8
	8
	6
	6
	6
	6
	7
	7
	8
전주
	7
	7
	5
	5
	9
	9
	6
	6
	4
	4
	6
	6
	6
제주
	9
	9
	10
	10
	12
	12
	11
	11
	9
	9
	10
	10
	10
창원
	7
	7
	8
	8
	9
	9
	8
	8
	8
	8
	8
	8
	7
청주
	7
	7
	5
	5
	8
	8
	6
	6
	5
	5
	6
	6
	6
춘천
	4
	4
	3
	3
	6
	6
	3
	3
	2
	2
	3
	4
	5
파주
	4
	4
	2
	2
	5
	5
	2
	2
	2
	2
	3
	3
	4
포항
	9
	9
	8
	8
	10
	10
	9
	9
	7
	7
	8
	8
	7
홍성
	5
	5
	5
	5
	7
	7
	5
	5
	3
	3
	4
	6
	5
